Food_items,VegNovVeg,Junk Food,Calories,Fats,Proteins,Iron,Calcium,Sodium,Potassium,Carbohydrates,Fibre,VitaminD,Sugars,Link
Aloo Tama,0,0,150,5.0,4.0,1.0,20.0,50.0,200.0,30.0,3.0,0.0,5.0,https://www.nepalholiday.com/wp-content/uploads/2024/06/Aloo-Tama.webp
Bhakka,0,0,150,5.0,4.0,1.0,20.0,50.0,200.0,30.0,3.0,0.0,5.0,https://th.bing.com/th/id/OIP.dq85wUyo79DXUxEf5gQMtgHaE8?rs=1&pid=ImgDetMain
Bara,0,0,150,5.0,4.0,1.0,20.0,50.0,200.0,30.0,3.0,0.0,5.0,https://th.bing.com/th/id/R.3abe4138af41a659c0b36d361a4297ba?rik=rEPrRqUuNKjGMg&riu=http%3a%2f%2fsanascarte.com%2fwp-content%2fuploads%2f2022%2f04%2fDSC_0117-1536x1024.jpg&ehk=JTgDQafFsG2FMxVQlNGsWNc0cIQbHV7P4V15wyD49vI%3d&risl=&pid=ImgRaw&r=0
Thukpa,0,0,150,5.0,4.0,1.0,20.0,50.0,200.0,30.0,3.0,0.0,5.0,https://th.bing.com/th/id/R.0cc76c62bdb4fdd751aeaebc9cd261f9?rik=qkRDtWkb8kQm5w&pid=ImgRaw&r=0
Momo,0,0,150,5.0,4.0,1.0,20.0,50.0,200.0,30.0,3.0,0.0,5.0,https://i.pinimg.com/originals/11/53/fa/1153fa2bf47479abe9d9609483375fe3.jpg
Choila,0,0,150,5.0,4.0,1.0,20.0,50.0,200.0,30.0,3.0,0.0,5.0,https://th.bing.com/th/id/OIP.Wtpuy6mJVMJnUNl5gFlV9AHaE8?rs=1&pid=ImgDetMain
Sukuti,0,0,150,5.0,4.0,1.0,20.0,50.0,200.0,30.0,3.0,0.0,5.0,https://junifoods.com/wp-content/uploads/2024/06/Sukuti-sadheko-nepali-recipe-dried-buffalo-meat-2.jpg
Kwati,0,0,150,5.0,4.0,1.0,20.0,50.0,200.0,30.0,3.0,0.0,5.0,https://english.onlinekhabar.com/wp-content/uploads/2021/08/A-bowl-of-Kwati-768x488.jpg
Juju Dhau,0,0,150,5.0,4.0,1.0,20.0,50.0,200.0,30.0,3.0,0.0,5.0,https://th.bing.com/th/id/R.7494c94602670ac3694586f9cfaa611a?rik=93r5oBcwOknOiw&pid=ImgRaw&r=0
Samay Baji,0,0,150,5.0,4.0,1.0,20.0,50.0,200.0,30.0,3.0,0.0,5.0,https://www.altitudehimalaya.com/media/files/Blog/Food/Samay-Baji-Newari-Khaja-Set.jpeg
Chhurpi,0,0,150,5.0,4.0,1.0,20.0,50.0,200.0,30.0,3.0,0.0,5.0,https://en-media.thebetterindia.com/uploads/2023/06/chhurpi-2-1686316784.jpg
Kinema,0,0,150,5.0,4.0,1.0,20.0,50.0,200.0,30.0,3.0,0.0,5.0,https://th.bing.com/th/id/R.e890310cfa64f8e8142fd7622eaa31d0?rik=cc%2fj7mnyxoX3cA&pid=ImgRaw&r=0
Phulaurah Gundruk,0,0,150,5.0,4.0,1.0,20.0,50.0,200.0,30.0,3.0,0.0,5.0,https://th.bing.com/th/id/OIP.HjaBKe5kZoGWoxvIFHBPTwHaJL?rs=1&pid=ImgDetMain
